Date,Open,High,Low,Close,Adj Close,Volume
2020-01-10,470.100006,477.000000,469.750000,473.500000,472.273315,1213600
2020-01-13,474.500000,482.450012,474.500000,477.649994,476.412567,1229969
2020-01-14,480.600006,485.200012,479.200012,484.250000,482.995483,2160301
2020-01-15,484.000000,486.850006,479.549988,484.000000,482.746124,1413668
2020-01-16,484.000000,487.450012,479.000000,480.250000,479.005829,1694372
2020-01-17,480.000000,482.950012,476.549988,480.299988,479.055695,2039387
2020-01-20,480.450012,483.149994,476.649994,480.149994,478.906097,1206931
2020-01-21,478.950012,479.549988,472.200012,473.399994,472.173584,1448808
2020-01-22,474.500000,480.299988,470.250000,471.600006,470.378265,2380518
2020-01-23,464.500000,475.850006,459.350006,465.149994,463.944946,5783749
2020-01-24,465.000000,467.750000,456.850006,458.850006,457.661285,2713370
2020-01-27,457.500000,466.500000,454.200012,464.450012,463.246796,5849003
2020-01-28,465.000000,468.000000,458.950012,464.700012,463.496124,3592413
2020-01-29,464.700012,467.399994,460.350006,461.549988,460.354279,1737293
2020-01-30,461.000000,461.000000,446.350006,451.000000,449.831604,2766881
2020-01-31,453.950012,453.950012,442.100006,446.899994,445.742218,2184609
2020-02-03,444.000000,450.649994,439.399994,444.549988,443.398315,1690394
2020-02-04,446.700012,452.450012,444.200012,448.450012,447.288239,2030860
2020-02-05,449.549988,459.149994,437.500000,447.549988,446.390533,3637403
2020-02-06,462.500000,464.350006,435.350006,439.649994,438.511017,7118843
2020-02-07,440.000000,445.899994,437.299988,443.200012,442.051819,6386193
2020-02-10,444.200012,451.000000,442.100006,444.750000,443.597809,3557480
2020-02-11,447.100006,452.000000,443.350006,450.600006,449.432648,1889638
2020-02-12,454.950012,454.950012,445.000000,446.799988,445.642487,1683136
2020-02-13,446.799988,448.899994,440.500000,443.399994,442.251282,2041017
2020-02-14,444.000000,448.899994,441.500000,447.100006,445.941711,1814780
2020-02-17,444.500000,445.750000,430.100006,431.899994,430.781097,4581786
